Sr.,,Particulars,Qty,Rate,Total,Date,
16,,Upper Cover 70 New,271,36,9756,,
17,,Back Cover 70 gare counter,477,30,14310,,
18,,Housing 70 Gare Counter,250,9,2250,,
19,,,,,36316,,
20,,Houing Rikshaw Small,200,17,3400,20-Apr-12,
21,,Upper Cover 70,472,36,16992,,
22,,Back Cover 70,406,30,12180,,
23,,Upper Cover 70 window,424,36,15264,,
24,,,,,47836,,
25,,Upper Cover 70 window,323,36,11628,24-Apr-12,
26,,Back Cover 70,819,30,24570,,
27,,,,,36198,,
28,,Dial Blank Qinque,200,12,2400,26-Apr-12,imran
29,,Upper Cover Sohrab window,116,48,5568,07-May-12,
30,,Upper Cover Window 70,488,36,17568,,
31,,Back Cover 70,687,30,20610,,
32,,,,,46146,,
33,,Upper Cover 70 new,368,36,13248,11-May-12,
34,,back Cover 70 gare counter,478,30,14340,,
35,,Housing Qinque,468,35,16380,,
36,,Housing small Rikshaw,400,17,6800,,
37,,,,,50768,,
38,,Cover Set Honda 125,116,120,13920,11-May-12,
39,,Upper Cover Unique 70,74,36,2664,,
40,,Back Cover 70,408,30,12240,,
41,,,,,28824,,
42,,Upper Cover Window,467,36,16812,14-May,
43,,Back Cover 70 hole,443,30,13290,,
44,,,,,30102,,
45,,Upper Cover Window,252,48,12096,14-May-12,
46,,Back Cover 70 hole,192,30,5760,,
47,,Cover  set 125,150,120,18000,,
48,,,,,35856,,
49,,Cover Set 125 window,63,120,7560,15-May-12,
50,,Cover set 125,277,120,33240,17-May-12,
51,,Back Cover 70 hole,310,30,9300,,
