Sr.,Particulars,Qty,Rate,Total,,,
1,Dial Blank 70,1500,8,12000,,,
2,Upper Cover Unique,435,33,14355,,,
3,Back Cover 70,393,28,11004,,,
5,Dial Blank 70(Ring),1000,6,6000,,,
6,Dial Blank 70,1000,8,8000,,,
7,Housing 70,510,9,4590,,,
8,Housing 70 (G.C),838,9,7542,,,
9,Back Cover 70,497,28,13916,,,
10,Upper Cover United,496,33,16368,,,
11,Back Cover 70 ( G.C),122,28,3416,,,
12,Back Cover 70(Gc),680,28,19040,,,
15,Housing 70,520,9,4680,,,
16,Dial Ring 70,500,6,3000,,,
18,Upper Cover United,265,33,8745,,,
19,Back Cover 70,533,28,14924,,,
20,Housing 70,537,9,4833,,,
22,Dial Blank 70,3000,8,24000,,,
23,Upper Cover United,371,33,12243,,,
24,Back  Cover 70,390,28,10920,,,
25,Housing 70,204,9,1836,,,
27,Upper Cover United,332,33,10956,,,
28,Back Cover United,333,28,9324,,,
29,Housing 70,264,9,2376,,,
31,Upper Cover United,624,33,20592,,,
32,Upper Cover Unique,332,33,10956,,,
33,Back Cover 70,707,28,19796,,,
34,Hpusing 70,471,9,4239,,,
1,Upper Cover Sohrab Js,107,45,4815,,,
2,Housing 70 (Inner),906,9,8154,,,
4,Dial Blank 70,2000,8,16000,,,
5,Upper Cover Unique,249,33,8217,,,
6,Upper Cover United,386,33,12738,,,
9,Dial Blank King Hero,600,9,5400,,,
10,Housing 70 (Inner),528,9,4752,,,
11,Back Cover 70,464,28,12992,,,
12,Upper Cover United,651,33,21483,,,
14,Dial Blank 70,2000,9,18000,,,
15,Back Cover 70,1097,28,30716,,,
16,Upper Cover Unique,814,33,26862,,,
17,Housing 70 (Inner),596,9,5364,,,
19,Upper Cover United,454,33,14982,,,
20,Upper Cover Unique,314,33,10362,,,
22,Upper Cover United,384,33,12672,,,
23,Back Cover 70,555,28,15540,,,
24,Housing 70 (Inner),184,9,1656,,,
26,Back Cover  G.C 70,299,28,8372,,,
27,Back Cover 70,302,28,8456,,,
28,Housing 70 (Inner),308,9,2772,,,
29,Dial Blank 70,3500,9,31500,,,
30,Upper Cover United,1268,33,41844,,,
31,Back Cover 70,1254,28,35112,,,
33,Housing 70 (Inner),962,9,8658,,,
34,Back cover 70,192,28,5376,,,
36,Upper Cover United,1014,33,33462,,,
37,Back Cover 70,854,30,25620,,,
38,Housing 70 (Inner),1071,9,9639,,,
40,Dial Blank 70,2000,9,18000,,,
41,Housing 70 (Inner),1017,9,9153,,,
42,Back Cover 70,527,30,15810,,,
43,Upper Cover United,708,33,23364,,,
44,Upper Cover Sohrab Js,120,45,5400,,,
45,Housing Sohrab JS,120,30,3600,,,
46,Back Cover Sohrab,120,15,1800,,,
48,King Hero Dial Blank ,500,9,4500,,,
50,Upper Cover Unique,517,33,17061,,,
51,Back Cover 70 CC,1009,28,28252,,,
52,Upper Cover Sohrab JS,223,45,10035,,,
53,Housing Sohrab JS,60,30,1800,,,
54,Housing 70CC,1050,9,9450,,,
55,Back Cover sohrab JS,223,15,3345,,,
56,Nest Sohrab JS,223,15,3345,,,
58,Housing Sohrab JS,300,30,9000,,,
59,Back Cover 70,186,28,5208,,,
60,Housing 70,212,9,1908,,,
61,upper Cover 70,71,33,2343,,,
63,Upper Cover United 70,693,33,22869,,,
64,Back Cover 70,1320,28,36960,,,
65,Housing 70,1401,9,12609,,,
67,Dial Blank King Hero,500,9,4500,,,
68,Upper Cover United,645,33,21285,,,
69,Upper Cover Unique,544,33,17952,,,
1,Upper Cover 70 New,249,33,8217,,,
2,Housing 70,509,9,4581,,,
3,Dial Ring 70,500,6,3000,,,
5,Dial 70,500,9,4500,,,
6,Upper Cover United,701,33,23133,,,
7,Back Cover 70,675,28,18900,,,
8,Back Cover70 (Gare Counter),621,28,17388,,,
10,Upper Cover United,709,33,23397,,,
11,Dial 70,2500,9,22500,,,
12,Upper Cover United,322,33,10626,,,
,Back Cover 70,1350,28,37800,,,
13,Housing 70,1391,9,12519,,,
15,Upper Cover United,584,33,19272,,,
16,Housing 70,495,9,4455,,,
18,Upper Cover United,1060,33,34980,,,
19,Back Cover 70,1075,28,30100,,,
20,Housing 70,720,9,6480,,,
22,Dial Blank 70,3000,9,27000,,,
23,Upper Cover United,1859,33,61347,,,
24,Back Cover 70,1918,28,53704,,,
26,Upper Cover Unique,515,33,16995,,,
27,Upper Cover 70 New,530,33,17490,,,
28,Back Cover 70,1057,28,29596,,,
29,Housing 70 Black,503,9,4527,,,
31,Back Cover 70,790,28,22120,,,
32,Housing 70,1030,9,9270,,,
34,Dial Blank 70,3000,9,27000,,,
35,Housing 70 Black,1498,9,13482,,,
37,Upper Cover United,700,33,23100,,,
38,Back Cover 70,1356,28,37968,,,
39,Housing 70,692,9,6228,,,
41,Upper Cover United,774,33,25542,,,
42,Upper Cover Unique,428,33,14124,,,
43,Upper Cover United,332,33,10956,,,
45,Upper Cover United,349,33,11517,,,
46,Back Cover  70,1716,28,48048,,,
47,Housing 70 Black,2247,9,20223,,,
49,Upper Cover United,537,33,17721,,,
50,Housing 70,540,9,4860,,,
52,Upper Cover United,938,33,30954,,,
53,Back Cover 70,539,28,15092,,,
54,Back Cover 70 (Gare Counter),216,28,6048,,,
55,Housing 70,611,9,5499,,,
56,Housing 70 (Gare Counter),200,9,1800,,,
58,Upper Cover united,498,33,16434,,,
59,Housing 70 (black),525,9,4725,,,
1,Upper cover United,672,33,22176,,,
2,Housing 70 Black,283,9,2547,,,
4,Upper cover United,415,33,13695,,,
5,Back Cover 70,1059,28,29652,,,
6,Housing 70 Black,1687,9,15183,,,
8,Dial Blank 70,3000,9,27000,,,
9,Upper cover United,1009,33,33297,,,
10,Back Cover 70,1478,28,41384,,,
11,Housing 70 Black,246,9,2214,,,
,Upper cover United,2233,33,73689,,,
